OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,SATELLITE_TYPE,ORBITAL_PERIOD,ORBITAL_PERIOD_HOURS,ALTITUDE,PERIGEE,APOGEE
PROPCUBE 3,2015-058K,2024-12-31T19:33:57.391776,14.8802174,0.0179738,64.7709,109.3389,247.7802,110.4157,0,U,40973,999,3539,0.0013049,0.00016103,0.0,6982.254218977259,CubeSat,5806.369998463437,1.6128805551287324,611.2542189772594,6856.756578096206,7107.751859858313
GRBBETA,2024-128C,2025-01-01T04:08:58.604928,15.0015615,0.0033663,61.9938,274.3611,19.3577,340.8782,0,U,60237,999,2626,0.0010683,0.00013391,0.0,6944.551402147658,CubeSat,5759.403638212836,1.59983434394801,573.5514021476583,6921.173958762608,6967.928845532708
M2 PATHFINDER,2020-037E,2024-12-31T10:33:44.747136,15.00051406,0.0011662,97.7772,182.3437,161.3691,198.7961,0,U,45727,999,24548,0.00073378,9.096e-05,0.0,6944.874676236384,CubeSat,5759.805799746947,1.599946055485263,573.8746762363844,6936.775563388957,6952.9737890838105
PROPCUBE 1 (FLORA),2015-058N,2024-12-31T16:21:47.276352,14.84288629,0.0183224,64.7751,140.5899,247.6434,110.5169,0,U,40976,999,3707,0.0011653,0.00013088,0.0,6993.956622202023,CubeSat,5820.973508379119,1.6169370856608665,622.956622202023,6865.810551387389,7122.102693016657
SITRO-AIS 8 (ANOKHIN),2023-091AD,2025-01-01T02:58:21.462528,15.1575941,0.0015486,97.5843,58.396,158.1278,202.0618,0,U,57193,999,8341,0.0013444,0.00025724,0.0,6896.811018873239,CubeSat,5700.116213164305,1.5833656147678625,525.8110188732389,6886.1306173294115,6907.491420417066
AEROCUBE 6A,2014-033AM,2024-12-31T21:50:28.011552,14.8868005,0.004603,97.6762,173.431,351.4054,8.637,0,U,40045,999,56715,0.001639,0.00015572,0.0,6980.195649660228,CubeSat,5803.8023604852915,1.6121673223570254,609.1956496602279,6948.065809084842,7012.325490235613
SITRO-AIS 12 (SMIRENNIY),2023-091AQ,2025-01-01T03:45:08.198496,15.18395368,0.0011404,97.5864,60.1755,137.167,223.0454,0,U,57204,999,8352,0.0014464,0.00029821,0.0,6888.826726741741,CubeSat,5690.220722668434,1.5806168674078984,517.8267267417414,6880.970708742565,6896.682744740917
HORYU-4,2016-012D,2024-12-31T15:57:39.132864,15.26864332,0.0007399,30.9996,119.4552,187.7533,172.2996,0,U,41340,999,48824,0.0013485,0.00036887,0.0,6863.329900486865,CubeSat,5658.659127153781,1.5718497575427168,492.329900486865,6858.251722693494,6868.408078280235
UKUBE-1,2014-037F,2024-12-31T06:38:43.953504,15.00452365,0.0003271,98.3678,309.3963,94.0291,266.1305,0,U,40074,999,56826,0.0015977,0.00020086,0.0,6943.63738979986,CubeSat,5758.266633274535,1.5995185092429263,572.6373897998601,6941.366126009656,6945.908653590064
ZACUBE-1 (TSHEPISOSAT),2013-066B,2024-12-31T20:33:39.576384,14.93714349,0.0045169,97.7607,319.2531,223.8959,135.8669,0,U,39417,999,60104,0.0011367,0.00012228,0.0,6964.503153209536,CubeSat,5784.241675111176,1.6067337986419934,593.5031532095363,6933.045188916803,6995.961117502269
PROPCUBE 3,2015-058K,2024-12-31T19:33:57.391776,14.8802174,0.0179738,64.7709,109.3389,247.7802,110.4157,0,U,40973,999,3539,0.0013049,0.00016103,0.0,6982.254218977259,CubeSat,5806.369998463437,1.6128805551287324,611.2542189772594,6856.756578096206,7107.751859858313
POLYITAN-1,2014-033AJ,2024-12-31T16:32:37.009536,15.11381807,0.0010602,98.0912,340.5614,175.4266,184.7061,0,U,40042,999,57257,0.0017699,0.00029943,0.0,6910.121992372702,CubeSat,5716.626168305705,1.5879517134182513,539.1219923727022,6902.795881036389,6917.448103709015
ROBUSTA-1F (MTCUBE 2),2022-080E,2024-12-30T08:26:30.346368,6.42584036,0.000838,70.1231,123.9128,45.3679,314.7663,0,U,53109,999,5776,0.0,-3e-08,0.0,12221.238513364082,CubeSat,13445.719632221553,3.7349221200615426,5850.238513364082,12210.997115489883,12231.479911238279
CANX-2,2008-021H,2024-12-30T15:50:39.171840,14.99077033,0.0013596,97.7953,328.7501,48.4298,311.8088,0,U,32790,999,90476,0.0010983,0.00013317,0.0,6947.883712407913,CubeSat,5763.549569501919,1.600985991528311,576.8837124079128,6938.437369712523,6957.330055103303
BRITE-CA1 (TORONTO),2014-033L,2024-12-31T19:37:01.815168,14.70809683,0.0081266,97.9021,137.5091,179.8689,180.2553,0,U,40020,999,56390,0.00080422,5.121e-05,0.0,7036.621448168622,CubeSat,5874.318674986152,1.6317551874961531,665.621448168622,6979.437640307935,7093.805256029309
SWISSCUBE,2009-051B,2024-12-31T15:26:40.078752,14.60509912,0.0008256,98.4477,253.7997,69.3645,290.8439,0,U,35932,999,81136,0.0009843,4.731e-05,0.0,7069.665008161548,CubeSat,5915.745396322489,1.6432626100895802,698.665008161548,7063.82829273081,7075.501723592286
M2 PATHFINDER,2020-037E,2024-12-31T10:33:44.747136,15.00051406,0.0011662,97.7772,182.3437,161.3691,198.7961,0,U,45727,999,24548,0.00073378,9.096e-05,0.0,6944.874676236384,CubeSat,5759.805799746947,1.599946055485263,573.8746762363844,6936.775563388957,6952.9737890838105
NETSAT-1,2020-068W,2024-12-31T08:31:32.784384,15.1920245,0.0009476,97.8304,328.2272,68.461,291.7633,0,U,46506,999,23399,0.0008692,0.00018274,0.0,6886.386700638909,CubeSat,5687.197771565839,1.5797771587682885,515.3867006389091,6879.861160601384,6892.9122406764345
SNAP-3 ALICE,2015-058G,2024-12-31T10:15:12.405024,15.09143321,0.0128072,64.7677,62.04,243.1674,115.6305,0,U,40970,999,3540,0.0023826,0.00046161,0.0,6916.953413301826,CubeSat,5725.105540322212,1.5903070945339477,545.953413301826,6828.366607546986,7005.540219056665
SITRO-AIS 33,2024-039E,2025-01-01T03:15:50.609088,15.50123368,0.000803,97.4107,330.4963,208.0044,152.0777,0,U,59055,999,4700,0.0020068,0.00114464,0.0,6794.502547465874,CubeSat,5573.753009958728,1.5482647249885357,423.50254746587416,6789.046561920259,6799.95853301149
SEEDS II (CO-66),2008-021J,2024-12-31T16:02:11.554656,15.12036772,0.000549,97.7126,338.077,23.8385,336.3098,0,U,32791,999,90627,0.001627,0.00027992,0.0,6908.126355343242,CubeSat,5714.149912352371,1.5872638645423252,537.1263553432418,6904.333793974159,6911.918916712325
