OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,DEBRIS_TYPE,ORBITAL_PERIOD,ORBITAL_PERIOD_HOURS,ALTITUDE,PERIGEE,APOGEE
FENGYUN 1C DEB,1999-025AGK,2024-12-31T12:32:46.387104,14.44843453,0.0044573,98.6561,92.7294,47.3869,73.2152,0,U,30472,999,93068,0.0058969,0.00020775,0.0,7120.677418002931,FENGYUN 1C,5979.889911434828,1.6610805309541188,749.6774180029306,7088.938422547666,7152.416413458196
FENGYUN 1C DEB,1999-025AGM,2024-12-31T15:51:23.412096,14.32107665,0.0026243,98.9459,67.464,296.1481,217.4505,0,U,30474,999,92429,0.0061656,0.00016635,0.0,7162.83139579856,FENGYUN 1C,6033.069300133496,1.6758525833704154,791.8313957985602,7144.0339773665655,7181.628814230554
FENGYUN 1C DEB,1999-025AGN,2024-12-31T19:08:45.129120,14.14236253,0.0045169,98.8105,47.1103,197.3149,255.9351,0,U,30475,999,92059,0.0023311,4.45e-05,0.0,7223.0484955525935,FENGYUN 1C,6109.307953228777,1.6970299870079935,852.0484955525935,7190.422707803032,7255.674283302155
FENGYUN 1C DEB,1999-025AGP,2024-12-31T12:26:48.494976,14.18175507,0.0047261,99.1483,26.7502,204.4159,312.3867,0,U,30476,999,91932,0.0041846,8.656e-05,0.0,7209.6666955814135,FENGYUN 1C,6092.338180677212,1.6923161612992257,838.6666955814135,7175.593089811427,7243.740301351401
FENGYUN 1C DEB,1999-025AGQ,2024-12-31T14:17:36.172320,13.22492698,0.043139,99.4233,116.069,27.9471,345.7307,0,U,30477,999,86141,0.0028029,1.877e-05,0.0,7553.350759969435,FENGYUN 1C,6533.120977729106,1.814755827146974,1182.3507599694349,7227.506761535114,7879.194758403756
FENGYUN 1C DEB,1999-025AGS,2024-12-31T19:20:00.928320,14.32741821,0.016879,98.2507,32.2341,98.6379,317.0758,0,U,30480,999,93713,0.00064307,2.008e-05,0.0,7160.717645508442,FENGYUN 1C,6030.3989606215055,1.6751108223948625,789.7176455084418,7039.851892369905,7281.58339864698
FENGYUN 1C DEB,1999-025AGT,2024-12-31T15:44:33.843264,14.37040727,0.0229214,98.3613,27.2564,218.5173,269.1494,0,U,30481,999,93509,0.0015414,6.142e-05,0.0,7146.429662375104,FENGYUN 1C,6012.359027732247,1.6700997299256242,775.4296623751043,6982.62348951194,7310.235835238269
FENGYUN 1C DEB,1999-025AGX,2024-12-31T07:02:24.851616,14.80250337,0.0068869,98.9468,296.382,86.9814,72.5593,0,U,30485,999,93624,0.010921,0.00087499,0.0,7006.671053870468,FENGYUN 1C,5836.853789007016,1.621348274724171,635.6710538704683,6958.416810989567,7054.925296751369
FENGYUN 1C DEB,1999-025AGY,2024-12-30T20:21:39.155904,15.16958971,0.0091531,98.8207,322.224,324.8092,34.7114,0,U,30486,999,96411,0.003294,0.00072976,0.0,6893.17469276767,FENGYUN 1C,5695.608749722317,1.5821135415895324,522.1746927676704,6830.0807754872985,6956.268610048042
FENGYUN 1C DEB,1999-025AHB,2024-12-31T20:07:39.342720,14.15264524,0.0141027,98.4955,32.3326,180.9139,353.0545,0,U,30489,999,92493,0.00076483,1.597e-05,0.0,7219.549431902122,FENGYUN 1C,6104.869189950359,1.695796997208433,848.5494319021218,7117.7342921288355,7321.364571675408
